"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"398","Alternative Succession","11660_21",0.013945,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",715,4241,0,59.140745
"399","Alternative Succession","11660_22",0.026513,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",907,449,0,11.904337
"400","Competition or Maintenance","10160_16_23_24_25",0.0037272,"Colorado Plateau Pinyon-Juniper Woodland",967,578902,5.1,2157.6835344
"401","Competition or Maintenance","10160_16_23_24_25",0.0037272,"Colorado Plateau Pinyon-Juniper Woodland",1010,36483,0.3,135.9794376
"402","Competition or Maintenance","10160_17",0.003699,"Colorado Plateau Pinyon-Juniper Woodland",1080,1395,0,5.160105
"403","Competition or Maintenance","10160_22",0.0066438,"Colorado Plateau Pinyon-Juniper Woodland",880,11266,0.1,74.8490508
"404","Competition or Maintenance","10460_21",0.0018328,"Northern Rocky Mountain Subalpine Woodland and Parkland",689,28,0,0.0513184
"405","Competition or Maintenance","10500_16_23_28",0.0009676,"Rocky Mountain Lodgepole Pine Forest",970,198050,1.8,191.63318
"406","Competition or Maintenance","10500_18",0.001005,"Rocky Mountain Lodgepole Pine Forest",1223,2,0,0.00201
"407","Competition or Maintenance","10500_22",0.0008352,"Rocky Mountain Lodgepole Pine Forest",882,177,0,0.1478304
"408","Competition or Maintenance","10510_15_16_17_22_23_24_25",0.0019194,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",971,304083,2.7,583.6569102
"409","Competition or Maintenance","10510_15_16_17_22_23_24_25",0.0019194,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",883,106,0,0.2034564
"410","Competition or Maintenance","10510_15_16_17_22_23_24_25",0.0019194,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1013,4605,0,8.838837
"411","Competition or Maintenance","10510_18_21",0.0019198,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1224,4,0,0.0076792
"412","Competition or Maintenance","10550_16_23_24",0.0007446,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",974,1071284,9.5,797.6780664
"413","Competition or Maintenance","10550_16_23_24",0.0007446,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1016,2498,0,1.8600108
"414","Competition or Maintenance","10550_18",0.0008514,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1226,0,0,0
"415","Competition or Maintenance","10550_21_22",0.0006908,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",693,1061,0,0.7329388
"416","Competition or Maintenance","10550_21_22",0.0006908,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",885,1196,0,0.8261968
"417","Competition or Maintenance","10560_16_23",0.0007116,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",975,2541,0,1.8081756
"418","Competition or Maintenance","11040_23_24",0.0118994,"Mogollon Chaparral",1032,1,0,0.0118994
"419","Competition or Maintenance","11460_15_16_23_24_25_28",0.0482026,"Southern Rocky Mountain Montane-Subalpine Grassland",1001,50443,0.4,2431.4837518
"420","Competition or Maintenance","11460_15_16_23_24_25_28",0.0482026,"Southern Rocky Mountain Montane-Subalpine Grassland",1041,55,0,2.651143
"421","Competition or Maintenance","11610_21",0.003591,"Northern Rocky Mountain Conifer Swamp",714,85,0,0.305235
"422","Insect or Disease","10110_16_23_24",0.00042,"Rocky Mountain Aspen Forest and Woodland",965,1105800,9.8,464.436
"423","Insect or Disease","10110_16_23_24",0.00042,"Rocky Mountain Aspen Forest and Woodland",1009,2789,0,1.17138
"424","Insect or Disease","10110_21",0.0026392,"Rocky Mountain Aspen Forest and Woodland",686,5268,0,13.9033056
"425","Insect or Disease","10110_22",0.0019782,"Rocky Mountain Aspen Forest and Woodland",879,5140,0,10.167948
"426","Insect or Disease","10110_6_10_12_17_18_19",0.0022824,"Rocky Mountain Aspen Forest and Woodland",1078,0,0,0
"427","Insect or Disease","10110_6_10_12_17_18_19",0.0022824,"Rocky Mountain Aspen Forest and Woodland",1218,315,0,0.718956
"428","Insect or Disease","10160_13_14",0.0028668,"Colorado Plateau Pinyon-Juniper Woodland",491,482,0,1.3817976
"429","Insect or Disease","10160_16_23_24_25",0.0035028,"Colorado Plateau Pinyon-Juniper Woodland",967,578902,5.1,2027.7779256
"430","Insect or Disease","10160_16_23_24_25",0.0035028,"Colorado Plateau Pinyon-Juniper Woodland",1010,36483,0.3,127.7926524
"431","Insect or Disease","10160_17",0.0035252,"Colorado Plateau Pinyon-Juniper Woodland",1080,1395,0,4.917654
